Agent: ppo, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 197, Reward: 608.3067, Test: 411.6249 [338.75], Avg: 508.7822 (0.10)
Ep: 198, Reward: 562.5747, Test: 489.6012 [376.78], Avg: 507.5476 (0.10)
Ep: 199, Reward: 620.5737, Test: 603.9634 [312.41], Avg: 507.2620 (0.10)
Ep: 200, Reward: 599.3873, Test: 556.0269 [328.56], Avg: 507.6135 (0.10)
Ep: 201, Reward: 544.3617, Test: 522.2973 [254.06], Avg: 507.5125 (0.10)
Ep: 202, Reward: 645.2790, Test: 574.7257 [264.78], Avg: 508.8964 (0.10)
Ep: 203, Reward: 663.1609, Test: 750.1173 [265.95], Avg: 511.0075 (0.10)
Ep: 204, Reward: 641.8502, Test: 511.7654 [347.66], Avg: 512.2318 (0.10)
Ep: 205, Reward: 591.2269, Test: 467.0075 [312.00], Avg: 512.7533 (0.10)
Ep: 206, Reward: 546.1684, Test: 418.0688 [390.25], Avg: 511.4180 (0.10)
Ep: 207, Reward: 521.7989, Test: 639.8241 [367.36], Avg: 512.7300 (0.10)
Ep: 208, Reward: 591.1987, Test: 579.6003 [267.87], Avg: 512.9442 (0.10)
Ep: 209, Reward: 515.7285, Test: 535.8871 [328.53], Avg: 513.5438 (0.10)
Ep: 210, Reward: 565.1058, Test: 636.8987 [297.61], Avg: 513.2063 (0.10)
Ep: 211, Reward: 510.4035, Test: 665.6543 [333.64], Avg: 515.5475 (0.10)
Ep: 212, Reward: 593.5463, Test: 304.1154 [322.59], Avg: 513.3333 (0.10)
Ep: 213, Reward: 511.4001, Test: 751.5546 [184.13], Avg: 515.5655 (0.10)
Ep: 214, Reward: 660.0927, Test: 392.7092 [309.92], Avg: 515.0592 (0.10)
Ep: 215, Reward: 657.5869, Test: 478.2863 [319.05], Avg: 514.7530 (0.10)
Ep: 216, Reward: 556.3048, Test: 470.8267 [376.64], Avg: 514.0743 (0.10)
Ep: 217, Reward: 685.7622, Test: 340.0111 [247.24], Avg: 511.7012 (0.10)
Ep: 218, Reward: 647.8713, Test: 589.9240 [330.12], Avg: 513.7423 (0.10)
Ep: 219, Reward: 570.6554, Test: 531.7360 [292.13], Avg: 514.5729 (0.10)
Ep: 220, Reward: 798.9965, Test: 572.6462 [328.26], Avg: 515.0506 (0.10)
Ep: 221, Reward: 546.9670, Test: 625.6597 [191.87], Avg: 516.9289 (0.10)
Ep: 222, Reward: 770.9656, Test: 561.8707 [323.18], Avg: 517.9861 (0.10)
Ep: 223, Reward: 726.7328, Test: 627.2506 [314.14], Avg: 519.8750 (0.10)
Ep: 224, Reward: 620.6861, Test: 705.4815 [159.33], Avg: 521.8257 (0.10)
Ep: 225, Reward: 741.8240, Test: 538.2096 [309.95], Avg: 523.2586 (0.10)
Ep: 226, Reward: 787.2731, Test: 594.5865 [293.17], Avg: 526.0621 (0.10)
Ep: 227, Reward: 725.8256, Test: 774.3983 [180.94], Avg: 530.0969 (0.10)
Ep: 228, Reward: 786.9166, Test: 742.3239 [188.36], Avg: 533.2777 (0.10)
Ep: 229, Reward: 835.0806, Test: 771.8251 [162.30], Avg: 537.2292 (0.10)
Ep: 230, Reward: 845.9485, Test: 779.7823 [249.81], Avg: 541.7320 (0.10)
Ep: 231, Reward: 797.9616, Test: 690.5661 [219.64], Avg: 546.0872 (0.10)
Ep: 232, Reward: 753.5829, Test: 785.5571 [208.83], Avg: 550.8115 (0.10)
Ep: 233, Reward: 794.4070, Test: 758.8204 [183.61], Avg: 554.6221 (0.10)
Ep: 234, Reward: 760.1042, Test: 870.5051 [35.67], Avg: 558.5221 (0.10)
Ep: 235, Reward: 874.3477, Test: 834.7575 [28.33], Avg: 562.4391 (0.10)
Ep: 236, Reward: 812.7557, Test: 801.4181 [100.91], Avg: 566.4345 (0.10)
Ep: 237, Reward: 813.3555, Test: 800.4138 [101.75], Avg: 569.5730 (0.10)
Ep: 238, Reward: 919.9971, Test: 766.8377 [216.41], Avg: 573.7132 (0.10)
Ep: 239, Reward: 804.4122, Test: 785.1312 [178.75], Avg: 577.2388 (0.10)
Ep: 240, Reward: 830.6771, Test: 741.3418 [184.06], Avg: 580.7779 (0.10)
Ep: 241, Reward: 886.0839, Test: 738.0515 [251.93], Avg: 585.0933 (0.10)
Ep: 242, Reward: 849.9988, Test: 752.7739 [213.28], Avg: 587.6542 (0.10)
Ep: 243, Reward: 908.4273, Test: 782.6169 [85.67], Avg: 590.0591 (0.10)
Ep: 244, Reward: 806.4932, Test: 737.1525 [194.40], Avg: 592.5237 (0.10)
Ep: 245, Reward: 761.2439, Test: 575.8498 [253.83], Avg: 592.9409 (0.10)
Ep: 246, Reward: 766.1100, Test: 712.9411 [177.61], Avg: 595.1972 (0.10)
Ep: 247, Reward: 751.6989, Test: 662.9105 [280.27], Avg: 595.8149 (0.10)
Ep: 248, Reward: 708.3759, Test: 677.3915 [169.83], Avg: 596.6673 (0.10)
Ep: 249, Reward: 691.6655, Test: 442.4654 [241.28], Avg: 595.0012 (0.10)
