Agent: ppo, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 188, Reward: 13.3484, Test: 21.2890 [61.0238097286187], Avg: 20.6084 (0.1000)
Ep: 189, Reward: 16.2816, Test: -7.5799 [23.392887411968662], Avg: 21.1450 (0.1000)
Ep: 190, Reward: 15.1750, Test: -4.3180 [24.88278213221827], Avg: 21.5317 (0.1000)
Ep: 191, Reward: 12.1566, Test: 51.6306 [66.10677626409777], Avg: 22.5412 (0.1000)
Ep: 192, Reward: 40.7200, Test: 6.5424 [21.838348204993014], Avg: 23.0857 (0.1000)
Ep: 193, Reward: 48.2289, Test: 53.5358 [53.8215713047965], Avg: 24.1748 (0.1000)
Ep: 194, Reward: 87.4884, Test: 64.1564 [110.09917113821737], Avg: 25.2563 (0.1000)
Ep: 195, Reward: 100.5617, Test: 8.9998 [66.46148824572484], Avg: 25.7716 (0.1000)
Ep: 196, Reward: 44.8472, Test: 25.0628 [97.71966047766828], Avg: 26.5972 (0.1000)
Ep: 197, Reward: 40.4375, Test: 41.4189 [66.25876607104722], Avg: 27.6390 (0.1000)
Ep: 198, Reward: 67.1744, Test: 89.8360 [86.19300584192656], Avg: 29.1531 (0.1000)
Ep: 199, Reward: 77.6886, Test: 11.6290 [33.30137198445842], Avg: 29.8534 (0.1000)
Ep: 200, Reward: 51.9158, Test: 48.7121 [102.53856771608707], Avg: 30.7923 (0.1000)
Ep: 201, Reward: 97.7555, Test: 49.4132 [113.96194806802963], Avg: 31.8241 (0.1000)
Ep: 202, Reward: 97.8702, Test: 69.9303 [97.79553583382842], Avg: 32.8916 (0.1000)
Ep: 203, Reward: 83.6262, Test: 45.6200 [53.602153800840505], Avg: 33.8446 (0.1000)
Ep: 204, Reward: 109.0322, Test: 69.3830 [77.02997184606993], Avg: 34.9720 (0.1000)
Ep: 205, Reward: 86.2000, Test: 43.5894 [69.9901244463089], Avg: 35.9563 (0.1000)
Ep: 206, Reward: 132.0181, Test: 54.1892 [54.002042834149144], Avg: 37.1169 (0.1000)
Ep: 207, Reward: 112.0004, Test: 8.6199 [69.83214568593607], Avg: 37.5954 (0.1000)
Ep: 208, Reward: 65.1169, Test: 20.6594 [53.17175628629247], Avg: 38.0855 (0.1000)
Ep: 209, Reward: 46.2266, Test: 28.2905 [90.64374728322713], Avg: 38.6538 (0.1000)
Ep: 210, Reward: 81.3903, Test: 56.2138 [95.74562950897301], Avg: 39.6296 (0.1000)
Ep: 211, Reward: 81.0063, Test: 60.2619 [93.53029595498033], Avg: 40.4871 (0.1000)
Ep: 212, Reward: 16.7904, Test: 40.5676 [47.190770841162845], Avg: 41.1204 (0.1000)
Ep: 213, Reward: 54.7929, Test: 48.9619 [57.314216067628394], Avg: 41.9177 (0.1000)
Ep: 214, Reward: 39.6290, Test: -3.9259 [62.78124987547219], Avg: 41.9933 (0.1000)
Ep: 215, Reward: 48.9507, Test: 48.3064 [90.99879299607636], Avg: 42.5554 (0.1000)
Ep: 216, Reward: 38.3242, Test: 56.3600 [105.65813978096027], Avg: 43.5916 (0.1000)
Ep: 217, Reward: 54.2920, Test: 14.9184 [101.79292191459948], Avg: 43.8414 (0.1000)
Ep: 218, Reward: 25.1047, Test: 8.7793 [48.92410914967155], Avg: 44.1930 (0.1000)
Ep: 219, Reward: -17.6844, Test: -4.8584 [26.535252117574053], Avg: 44.1685 (0.1000)
Ep: 220, Reward: 0.9695, Test: 16.2804 [52.38092523012973], Avg: 44.2027 (0.1000)
Ep: 221, Reward: -30.2004, Test: 14.6217 [51.26695782251377], Avg: 44.5253 (0.1000)
Ep: 222, Reward: 3.5467, Test: -2.9248 [50.67944900375938], Avg: 44.4449 (0.1000)
Ep: 223, Reward: 5.6511, Test: -11.3106 [35.936731114647465], Avg: 44.0392 (0.1000)
Ep: 224, Reward: 6.3505, Test: -4.7321 [51.73425552017365], Avg: 43.6442 (0.1000)
Ep: 225, Reward: 0.3930, Test: -3.0610 [48.206391960291505], Avg: 43.1807 (0.1000)
Ep: 226, Reward: 4.9291, Test: -26.9250 [39.483935681757266], Avg: 42.5079 (0.1000)
Ep: 227, Reward: -12.1998, Test: -62.6649 [19.5832294219981], Avg: 41.3993 (0.1000)
Ep: 228, Reward: -16.5350, Test: 10.8337 [31.555348423937943], Avg: 40.9780 (0.1000)
Ep: 229, Reward: -14.8225, Test: 7.7864 [45.07840896271959], Avg: 39.9495 (0.1000)
Ep: 230, Reward: -16.7452, Test: -14.1401 [31.682588060316732], Avg: 39.2511 (0.1000)
Ep: 231, Reward: -10.9315, Test: -50.8952 [16.676814317133942], Avg: 37.9698 (0.1000)
Ep: 232, Reward: -41.1143, Test: -81.1518 [3.2412565807839204], Avg: 36.0847 (0.1000)
Ep: 233, Reward: -67.1031, Test: -41.9624 [15.932090395846034], Avg: 35.1579 (0.1000)
Ep: 234, Reward: -37.2736, Test: -41.4479 [23.176586453074755], Avg: 34.1729 (0.1000)
Ep: 235, Reward: -30.5222, Test: -68.3050 [20.19271261577699], Avg: 32.8498 (0.1000)
Ep: 236, Reward: -73.2987, Test: -61.3928 [21.253479124234715], Avg: 30.6570 (0.1000)
Ep: 237, Reward: -69.0236, Test: -66.0301 [17.761783789466747], Avg: 29.2783 (0.1000)
Ep: 238, Reward: -44.0735, Test: -59.2150 [17.60965354311236], Avg: 26.9908 (0.1000)
Ep: 239, Reward: -37.4218, Test: -35.2094 [37.74366979998159], Avg: 24.5209 (0.1000)
Ep: 240, Reward: -19.9803, Test: -24.6257 [33.868979248828175], Avg: 23.1266 (0.1000)
Ep: 241, Reward: -39.9853, Test: -40.1644 [33.68235163950156], Avg: 21.9267 (0.1000)
Ep: 242, Reward: -40.4729, Test: -61.4077 [11.5738955251659], Avg: 20.6788 (0.1000)
Ep: 243, Reward: -58.8832, Test: -46.2042 [16.48890143078702], Avg: 19.7147 (0.1000)
Ep: 244, Reward: -59.8008, Test: -65.9490 [12.610640573866194], Avg: 17.8235 (0.1000)
Ep: 245, Reward: -66.4562, Test: -69.6775 [10.069717265652697], Avg: 16.8176 (0.1000)
Ep: 246, Reward: -65.6103, Test: -49.5810 [24.031142174074713], Avg: 15.4260 (0.1000)
Ep: 247, Reward: -64.3487, Test: -69.8860 [7.216104356805597], Avg: 14.4050 (0.1000)
Ep: 248, Reward: -66.2149, Test: -72.4071 [7.435222887553584], Avg: 13.4103 (0.1000)
Ep: 249, Reward: -64.3383, Test: -75.5489 [16.337462107092794], Avg: 11.7035 (0.1000)
