Agent: ddpg, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 187, Reward: 524.1769, Test: 416.7609 [184.88], Avg: 145.9975 (0.15)
Ep: 188, Reward: 556.1329, Test: 338.0895 [94.58], Avg: 147.8567 (0.15)
Ep: 189, Reward: 649.3802, Test: 357.5621 [164.06], Avg: 148.3030 (0.15)
Ep: 190, Reward: 589.2419, Test: 471.2919 [184.95], Avg: 150.1636 (0.15)
Ep: 191, Reward: 699.6113, Test: 348.4460 [157.74], Avg: 150.5083 (0.14)
Ep: 192, Reward: 533.7725, Test: 455.1058 [178.19], Avg: 151.9188 (0.14)
Ep: 193, Reward: 641.2258, Test: 477.4305 [232.39], Avg: 153.2599 (0.14)
Ep: 194, Reward: 628.2748, Test: 251.4799 [99.61], Avg: 153.4507 (0.14)
Ep: 195, Reward: 574.9407, Test: 413.0916 [162.09], Avg: 154.0948 (0.14)
Ep: 196, Reward: 555.7777, Test: 406.2573 [168.42], Avg: 154.5393 (0.14)
Ep: 197, Reward: 595.0994, Test: 376.6220 [249.35], Avg: 154.6813 (0.14)
Ep: 198, Reward: 633.9802, Test: 377.9676 [150.79], Avg: 155.3673 (0.13)
Ep: 199, Reward: 526.4842, Test: 555.3905 [218.89], Avg: 156.8248 (0.13)
Ep: 200, Reward: 706.0936, Test: 432.0383 [267.54], Avg: 157.3798 (0.13)
Ep: 201, Reward: 581.3634, Test: 411.5959 [227.84], Avg: 158.6831 (0.13)
Ep: 202, Reward: 537.1349, Test: 419.6516 [169.48], Avg: 159.1854 (0.13)
Ep: 203, Reward: 619.8660, Test: 277.0205 [102.21], Avg: 159.4899 (0.13)
Ep: 204, Reward: 500.4997, Test: 401.9513 [188.24], Avg: 160.0629 (0.13)
Ep: 205, Reward: 576.7821, Test: 437.0040 [176.87], Avg: 161.0460 (0.12)
Ep: 206, Reward: 650.2863, Test: 397.4029 [159.50], Avg: 161.9590 (0.12)
Ep: 207, Reward: 557.2737, Test: 471.8604 [234.31], Avg: 162.0486 (0.12)
Ep: 208, Reward: 538.0395, Test: 366.7211 [150.84], Avg: 163.2111 (0.12)
Ep: 209, Reward: 635.3352, Test: 455.1915 [223.89], Avg: 164.3670 (0.12)
Ep: 210, Reward: 714.1826, Test: 576.7100 [202.37], Avg: 166.1839 (0.12)
Ep: 211, Reward: 697.0527, Test: 572.8522 [215.41], Avg: 167.9782 (0.12)
Ep: 212, Reward: 766.1281, Test: 602.0833 [157.86], Avg: 171.0642 (0.12)
Ep: 213, Reward: 672.2776, Test: 686.3769 [211.19], Avg: 173.9161 (0.12)
Ep: 214, Reward: 697.0231, Test: 470.6874 [219.10], Avg: 175.0387 (0.11)
Ep: 215, Reward: 758.9234, Test: 589.1900 [156.72], Avg: 178.5063 (0.11)
Ep: 216, Reward: 711.3122, Test: 692.1537 [226.15], Avg: 181.7426 (0.11)
Ep: 217, Reward: 660.1475, Test: 425.0906 [195.33], Avg: 183.1772 (0.11)
Ep: 218, Reward: 613.6606, Test: 476.8490 [207.99], Avg: 185.1513 (0.11)
Ep: 219, Reward: 696.5765, Test: 513.7641 [252.54], Avg: 186.5741 (0.11)
Ep: 220, Reward: 733.8495, Test: 450.8578 [156.95], Avg: 189.1158 (0.11)
Ep: 221, Reward: 811.4332, Test: 525.1058 [214.51], Avg: 190.7777 (0.11)
Ep: 222, Reward: 766.9092, Test: 501.9154 [240.64], Avg: 193.5995 (0.11)
Ep: 223, Reward: 641.1329, Test: 527.0563 [190.81], Avg: 196.5717 (0.10)
Ep: 224, Reward: 636.5576, Test: 488.2625 [230.40], Avg: 199.8395 (0.10)
Ep: 225, Reward: 704.3566, Test: 570.3597 [212.40], Avg: 203.9831 (0.10)
Ep: 226, Reward: 690.3179, Test: 508.1967 [217.05], Avg: 207.0971 (0.10)
Ep: 227, Reward: 658.6058, Test: 495.9068 [236.68], Avg: 210.0290 (0.10)
Ep: 228, Reward: 653.0193, Test: 393.5615 [191.40], Avg: 212.0998 (0.10)
Ep: 229, Reward: 697.1488, Test: 468.4354 [251.39], Avg: 213.9728 (0.10)
Ep: 230, Reward: 592.9320, Test: 478.5139 [272.50], Avg: 216.1740 (0.10)
Ep: 231, Reward: 632.2933, Test: 490.5245 [193.41], Avg: 218.3790 (0.10)
Ep: 232, Reward: 645.8630, Test: 483.4622 [184.89], Avg: 220.8031 (0.10)
Ep: 233, Reward: 645.1061, Test: 496.4070 [241.63], Avg: 221.3840 (0.09)
Ep: 234, Reward: 573.3934, Test: 377.0555 [200.59], Avg: 221.8417 (0.09)
Ep: 235, Reward: 612.7540, Test: 361.5466 [236.89], Avg: 221.5563 (0.09)
Ep: 236, Reward: 532.6182, Test: 394.6765 [277.55], Avg: 221.8965 (0.09)
Ep: 237, Reward: 610.8525, Test: 522.4738 [240.19], Avg: 223.1878 (0.09)
Ep: 238, Reward: 706.9591, Test: 522.8458 [232.60], Avg: 224.8043 (0.09)
Ep: 239, Reward: 631.0534, Test: 562.5795 [163.37], Avg: 227.1414 (0.09)
Ep: 240, Reward: 582.9360, Test: 568.6934 [246.30], Avg: 229.1226 (0.09)
Ep: 241, Reward: 690.9340, Test: 409.8795 [271.83], Avg: 229.2152 (0.09)
Ep: 242, Reward: 667.1538, Test: 617.0886 [200.50], Avg: 232.0373 (0.09)
Ep: 243, Reward: 632.6348, Test: 533.9762 [182.30], Avg: 234.9181 (0.09)
Ep: 244, Reward: 577.6700, Test: 475.9887 [153.39], Avg: 236.4802 (0.08)
Ep: 245, Reward: 493.5823, Test: 629.0929 [190.19], Avg: 239.4600 (0.08)
Ep: 246, Reward: 592.5437, Test: 490.4720 [205.87], Avg: 240.3774 (0.08)
Ep: 247, Reward: 570.7979, Test: 622.0088 [184.77], Avg: 243.8565 (0.08)
Ep: 248, Reward: 621.2719, Test: 671.5705 [213.37], Avg: 245.9127 (0.08)
Ep: 249, Reward: 686.7864, Test: 600.2853 [212.79], Avg: 247.9300 (0.08)
Ep: 250, Reward: 612.1406, Test: 467.5141 [224.44], Avg: 249.0273 (0.08)
Ep: 251, Reward: 776.6939, Test: 536.0085 [240.82], Avg: 249.4843 (0.08)
Ep: 252, Reward: 656.4552, Test: 464.8240 [195.58], Avg: 250.6704 (0.08)
Ep: 253, Reward: 692.7622, Test: 596.4100 [236.48], Avg: 252.4060 (0.08)
Ep: 254, Reward: 703.8153, Test: 694.7405 [172.77], Avg: 256.6216 (0.08)
Ep: 255, Reward: 742.8095, Test: 550.0852 [215.92], Avg: 257.9343 (0.08)
Ep: 256, Reward: 742.0325, Test: 622.3201 [235.75], Avg: 260.5829 (0.07)
Ep: 257, Reward: 731.8880, Test: 591.8277 [203.53], Avg: 262.3164 (0.07)
Ep: 258, Reward: 680.7790, Test: 603.9934 [221.13], Avg: 264.7699 (0.07)
Ep: 259, Reward: 622.6211, Test: 787.0525 [121.11], Avg: 269.1540 (0.07)
Ep: 260, Reward: 699.0987, Test: 555.3869 [170.53], Avg: 270.8307 (0.07)
Ep: 261, Reward: 760.3886, Test: 638.7486 [220.76], Avg: 273.6146 (0.07)
