Iteration 1
Ep: 1-143, Best score: 896.6454, Min: 648.2006, Avg: 826.9531
Ep: 1-142, Best score: 901.5348, Min: 657.3007, Avg: 839.0210
Ep: 1-141, Best score: 899.1868, Min: 738.5199, Avg: 832.1143
Ep: 1-140, Best score: 883.1985, Min: 739.1850, Avg: 830.3040
Ep: 1-139, Best score: 893.0646, Min: 798.4986, Avg: 852.2414
Ep: 1-138, Best score: 908.3750, Min: 740.6788, Avg: 830.8053
Ep: 1-137, Best score: 903.2696, Min: 713.1204, Avg: 827.6102
Ep: 1-136, Best score: 901.3518, Min: 741.3324, Avg: 838.5814
Ep: 1-135, Best score: 897.2738, Min: 694.5988, Avg: 814.0275
Ep: 1-134, Best score: 905.6844, Min: 719.8281, Avg: 830.7901
Ep: 1-133, Best score: 896.6822, Min: 652.4996, Avg: 812.5141
Ep: 1-132, Best score: 882.9446, Min: 652.7444, Avg: 800.6675
Ep: 1-131, Best score: 905.6750, Min: 574.3958, Avg: 800.1111
Ep: 1-130, Best score: 875.6673, Min: 639.3768, Avg: 804.3662
Ep: 1-129, Best score: 903.3768, Min: 662.2870, Avg: 834.5201
Ep: 1-128, Best score: 901.6126, Min: 650.2798, Avg: 810.3208
Ep: 1-127, Best score: 884.5997, Min: 718.4072, Avg: 827.4101
Ep: 1-126, Best score: 894.8527, Min: 680.1018, Avg: 828.7423
Ep: 1-125, Best score: 890.3128, Min: 734.7045, Avg: 822.8339
Ep: 1-124, Best score: 885.1907, Min: 646.9722, Avg: 788.3687
Ep: 1-123, Best score: 896.5699, Min: 761.4029, Avg: 841.2040
Ep: 1-122, Best score: 898.4381, Min: 756.7675, Avg: 825.0501
Ep: 1-121, Best score: 892.7939, Min: 724.8695, Avg: 822.8020
Ep: 1-120, Best score: 898.5977, Min: 560.0755, Avg: 802.5029
Ep: 1-119, Best score: 904.0298, Min: 705.0945, Avg: 838.8750
Ep: 1-118, Best score: 887.2778, Min: 717.9276, Avg: 809.4547
Ep: 1-117, Best score: 903.4439, Min: 605.2699, Avg: 798.4636
Ep: 1-116, Best score: 897.4164, Min: 613.8071, Avg: 814.2189
Ep: 1-115, Best score: 894.5161, Min: 675.2686, Avg: 828.6690
Ep: 1-114, Best score: 897.6036, Min: 654.0885, Avg: 821.0174
Ep: 1-113, Best score: 892.5656, Min: 686.0459, Avg: 822.9827
Ep: 1-112, Best score: 896.6434, Min: 657.0340, Avg: 815.3328
Ep: 1-111, Best score: 899.3955, Min: 701.9624, Avg: 828.5613
Ep: 1-110, Best score: 894.1985, Min: 772.0005, Avg: 861.2284
Ep: 1-109, Best score: 899.4500, Min: 756.2261, Avg: 839.5689
Ep: 1-108, Best score: 890.6591, Min: 683.2869, Avg: 816.8703
Ep: 1-107, Best score: 884.1584, Min: 614.1045, Avg: 790.1881
Ep: 1-106, Best score: 896.5187, Min: 785.2816, Avg: 839.9137
Ep: 1-105, Best score: 894.9159, Min: 627.4625, Avg: 801.8722
Ep: 1-104, Best score: 871.0605, Min: 654.4647, Avg: 806.6850
Ep: 1-103, Best score: 889.2646, Min: 746.0337, Avg: 842.0538
Ep: 1-102, Best score: 905.2376, Min: 679.3278, Avg: 810.6230
Ep: 1-101, Best score: 894.6657, Min: 683.7274, Avg: 836.9794
Ep: 1-100, Best score: 893.9011, Min: 620.4871, Avg: 812.2005
Ep: 1-99, Best score: 893.1030, Min: 744.1794, Avg: 825.2573
Ep: 1-98, Best score: 891.4836, Min: 751.7431, Avg: 842.4179
Ep: 1-97, Best score: 876.8811, Min: 692.2299, Avg: 814.6850
Ep: 1-96, Best score: 863.1928, Min: 664.8726, Avg: 809.4409
Ep: 1-95, Best score: 889.4960, Min: 629.8235, Avg: 808.6809
Ep: 1-94, Best score: 880.1183, Min: 731.8094, Avg: 813.7058
Ep: 1-93, Best score: 876.1198, Min: 643.4893, Avg: 808.4537
Ep: 1-92, Best score: 884.9287, Min: 687.7084, Avg: 819.6957
Ep: 1-91, Best score: 892.6801, Min: 654.5295, Avg: 811.5242
Ep: 1-90, Best score: 888.2390, Min: 642.3386, Avg: 787.6178
Ep: 1-89, Best score: 860.8469, Min: 722.2056, Avg: 818.0311
Ep: 1-88, Best score: 891.3110, Min: 698.9802, Avg: 802.1085
Ep: 1-87, Best score: 863.0876, Min: 756.9276, Avg: 810.2583
Ep: 1-86, Best score: 908.7750, Min: 689.9646, Avg: 788.1315
Ep: 1-85, Best score: 870.3083, Min: 666.9251, Avg: 783.6823
Ep: 1-84, Best score: 860.9355, Min: 637.1593, Avg: 790.6820
Ep: 1-83, Best score: 855.6297, Min: 708.0571, Avg: 788.2907
Ep: 1-82, Best score: 854.0151, Min: 659.0669, Avg: 777.0186
Ep: 1-81, Best score: 865.2172, Min: 651.2106, Avg: 796.3246
Ep: 1-80, Best score: 886.5300, Min: 661.3763, Avg: 799.3069
Ep: 1-79, Best score: 887.6369, Min: 672.5612, Avg: 782.0450
Ep: 1-78, Best score: 871.3336, Min: 605.8633, Avg: 808.8932
Ep: 1-77, Best score: 889.9386, Min: 741.3601, Avg: 818.0905
Ep: 1-76, Best score: 863.1613, Min: 693.3389, Avg: 800.1421
Ep: 1-75, Best score: 893.3580, Min: 673.4610, Avg: 813.4195
Ep: 1-74, Best score: 893.3112, Min: 711.7884, Avg: 798.5778
Ep: 1-73, Best score: 905.0456, Min: 655.5563, Avg: 816.8040
Ep: 1-72, Best score: 893.7277, Min: 652.7277, Avg: 827.7990
