Ep: 1-129, Best score: 219.4888, Min: 76.4706, Avg: 119.8265
Ep: 1-128, Best score: 220.0000, Min: 110.1911, Avg: 157.1601
Ep: 1-127, Best score: 204.8327, Min: 29.0323, Avg: 142.6181
Ep: 1-126, Best score: 218.1818, Min: 74.8252, Avg: 121.2079
Ep: 1-125, Best score: 162.7737, Min: -3.2258, Avg: 82.1093
Ep: 1-124, Best score: 144.0678, Min: 21.2121, Avg: 88.7941
Ep: 1-123, Best score: 231.9328, Min: 21.5278, Avg: 127.4091
Ep: 1-122, Best score: 188.2562, Min: 41.4791, Avg: 99.7964
Ep: 1-121, Best score: 185.7143, Min: 126.6187, Avg: 152.0447
Ep: 1-120, Best score: 215.4122, Min: 83.4532, Avg: 137.8193
Ep: 1-119, Best score: 150.0000, Min: 45.4545, Avg: 108.3848
Ep: 1-118, Best score: 158.3026, Min: 36.6460, Avg: 103.2983
Ep: 1-117, Best score: 197.7941, Min: 29.8701, Avg: 104.4772
Ep: 1-116, Best score: 184.0909, Min: 43.7700, Avg: 128.9697
Ep: 1-115, Best score: 196.5517, Min: 69.8113, Avg: 115.2997
Ep: 1-114, Best score: 150.0000, Min: -5.0847, Avg: 110.6152
Ep: 1-113, Best score: 209.8039, Min: 175.5906, Avg: 191.6495
Ep: 1-112, Best score: 140.1316, Min: 68.2243, Avg: 111.9044
Ep: 1-111, Best score: 104.5455, Min: -107.0525, Avg: 32.0301
Ep: 1-110, Best score: 161.1940, Min: 34.5455, Avg: 111.1259
Ep: 1-109, Best score: 195.0192, Min: 25.3731, Avg: 113.4633
Ep: 1-108, Best score: 186.8217, Min: 103.2258, Avg: 157.0369
Ep: 1-107, Best score: 195.4545, Min: 49.1525, Avg: 154.5772
Ep: 1-106, Best score: 181.8533, Min: 127.7580, Avg: 149.5289
Ep: 1-105, Best score: 154.8263, Min: 50.4702, Avg: 99.3567
Ep: 1-104, Best score: 164.3678, Min: 90.1639, Avg: 130.7631
Ep: 1-103, Best score: 148.0620, Min: 63.8225, Avg: 111.2126
Ep: 1-102, Best score: 171.4286, Min: 97.8022, Avg: 134.0939
Ep: 1-101, Best score: 147.1910, Min: 115.2778, Avg: 132.8893
Ep: 1-100, Best score: 179.3103, Min: 97.6048, Avg: 140.6942
Ep: 1-99, Best score: 205.9701, Min: -52.3810, Avg: 89.5823
Ep: 1-98, Best score: 158.7859, Min: 21.1073, Avg: 85.0134
