Agent: ddpg, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 209, Reward: 652.6751, Test: 548.7619 [178.99597000256864], Avg: 534.7693 (0.1188)
Ep: 210, Reward: 651.6614, Test: 750.3958 [148.02992966723855], Avg: 538.0422 (0.1176)
Ep: 211, Reward: 594.0165, Test: 529.6517 [247.58192338631042], Avg: 537.4124 (0.1164)
Ep: 212, Reward: 574.8773, Test: 610.0696 [241.2598948986619], Avg: 539.6162 (0.1152)
Ep: 213, Reward: 615.0463, Test: 620.8571 [186.81358985069508], Avg: 541.8765 (0.1141)
Ep: 214, Reward: 654.5202, Test: 596.4097 [220.098822095287], Avg: 546.0096 (0.1129)
Ep: 215, Reward: 623.3458, Test: 662.7374 [133.89698064514528], Avg: 549.4750 (0.1118)
Ep: 216, Reward: 673.7442, Test: 676.7820 [89.5730649878415], Avg: 551.9870 (0.1107)
Ep: 217, Reward: 644.4984, Test: 835.1771 [27.60341090719739], Avg: 556.7165 (0.1096)
Ep: 218, Reward: 838.0739, Test: 813.9075 [40.379651266385295], Avg: 560.4385 (0.1085)
Ep: 219, Reward: 791.0622, Test: 771.0226 [62.69850041456311], Avg: 565.2183 (0.1074)
Ep: 220, Reward: 812.2806, Test: 790.5911 [68.22352863326925], Avg: 569.7090 (0.1063)
Ep: 221, Reward: 823.1662, Test: 776.0130 [140.30446858151305], Avg: 574.2386 (0.1053)
Ep: 222, Reward: 773.8350, Test: 751.1853 [187.94288279884546], Avg: 577.3688 (0.1042)
Ep: 223, Reward: 752.2479, Test: 804.1318 [144.43514053503273], Avg: 582.4647 (0.1032)
Ep: 224, Reward: 784.5730, Test: 716.0805 [163.17102377911974], Avg: 585.8810 (0.1021)
Ep: 225, Reward: 841.1933, Test: 727.5007 [117.98027743322135], Avg: 588.5201 (0.1011)
Ep: 226, Reward: 685.3002, Test: 675.9001 [130.26873748138652], Avg: 590.5079 (0.1001)
Ep: 227, Reward: 744.2170, Test: 699.2068 [155.31005409827367], Avg: 593.3016 (0.0991)
Ep: 228, Reward: 754.6034, Test: 569.9108 [190.65694794310758], Avg: 595.9009 (0.0981)
Ep: 229, Reward: 718.2927, Test: 729.0750 [99.24220854137148], Avg: 599.5253 (0.0971)
Ep: 230, Reward: 719.0261, Test: 782.8063 [39.922237318160256], Avg: 604.1907 (0.0962)
Ep: 231, Reward: 684.9963, Test: 650.1059 [133.06196039900058], Avg: 606.5791 (0.0952)
Ep: 232, Reward: 747.3696, Test: 586.1096 [166.6613934080032], Avg: 607.0236 (0.0942)
Ep: 233, Reward: 544.6483, Test: 385.6587 [274.67959801690307], Avg: 606.4446 (0.0933)
Ep: 234, Reward: 468.7576, Test: 640.1917 [211.76710962454243], Avg: 608.9969 (0.0924)
Ep: 235, Reward: 582.6686, Test: 624.1549 [136.96282612792015], Avg: 610.3353 (0.0914)
Ep: 236, Reward: 680.0954, Test: 503.9793 [224.1224083892345], Avg: 609.7564 (0.0905)
Ep: 237, Reward: 562.3941, Test: 650.9836 [149.43099620360826], Avg: 612.8098 (0.0896)
Ep: 238, Reward: 533.6306, Test: 511.2268 [188.45323644163736], Avg: 613.3479 (0.0887)
Ep: 239, Reward: 706.8633, Test: 594.6267 [215.1191587386484], Avg: 613.2633 (0.0878)
Ep: 240, Reward: 469.1818, Test: 604.8083 [261.78562350659456], Avg: 614.0546 (0.0870)
Ep: 241, Reward: 681.7274, Test: 708.0144 [78.79096697455917], Avg: 616.2478 (0.0861)
Ep: 242, Reward: 658.1469, Test: 710.4684 [116.43490098149375], Avg: 618.6156 (0.0852)
Ep: 243, Reward: 729.2277, Test: 721.5231 [106.6353115331253], Avg: 621.7156 (0.0844)
Ep: 244, Reward: 799.1965, Test: 692.8840 [125.8755714397879], Avg: 624.9751 (0.0835)
Ep: 245, Reward: 736.1503, Test: 749.7108 [131.97001985149362], Avg: 627.8355 (0.0827)
Ep: 246, Reward: 699.5482, Test: 791.6553 [60.23257447519354], Avg: 632.3187 (0.0819)
Ep: 247, Reward: 741.1606, Test: 749.3277 [135.4607400365492], Avg: 635.7029 (0.0811)
Ep: 248, Reward: 776.3086, Test: 758.4287 [123.75178082599567], Avg: 638.7605 (0.0802)
Ep: 249, Reward: 706.7531, Test: 763.7056 [145.6806804491482], Avg: 642.3231 (0.0794)
Ep: 250, Reward: 614.3403, Test: 680.8293 [230.9708614189291], Avg: 644.0086 (0.0787)
Ep: 251, Reward: 295.0585, Test: 446.2824 [203.67260052104595], Avg: 643.9213 (0.0779)
Ep: 252, Reward: 616.3125, Test: 727.4738 [128.04001605408567], Avg: 645.6765 (0.0771)
Ep: 253, Reward: 567.9949, Test: 544.1615 [200.18903998523658], Avg: 647.8830 (0.0763)
Ep: 254, Reward: 697.6162, Test: 533.3579 [215.60467138538755], Avg: 647.5051 (0.0756)
Ep: 255, Reward: 555.0880, Test: 588.7215 [199.6590348844149], Avg: 648.1265 (0.0748)
Ep: 256, Reward: 602.6832, Test: 759.9289 [52.3959090646417], Avg: 650.1499 (0.0726)
Ep: 257, Reward: 691.0194, Test: 801.2839 [39.90587196929074], Avg: 652.5220 (0.0718)
Ep: 258, Reward: 712.2674, Test: 748.2314 [133.18794470048684], Avg: 655.2603 (0.0711)
Ep: 259, Reward: 790.1720, Test: 766.3498 [167.15918998080167], Avg: 658.7187 (0.0704)
Ep: 260, Reward: 806.5003, Test: 765.8874 [52.28747549032112], Avg: 661.5791 (0.0697)
Ep: 261, Reward: 772.9936, Test: 803.2083 [100.98477114503557], Avg: 665.4084 (0.0690)
Ep: 262, Reward: 789.9903, Test: 817.4836 [48.76954556986736], Avg: 668.3307 (0.0683)
Ep: 263, Reward: 812.5843, Test: 433.8319 [274.3096184475485], Avg: 668.9247 (0.0676)
