Agent: ddpg, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 261, Reward: 844.8980, Test: 767.5574, Avg: 747.8147
Ep: 262, Reward: 951.4272, Test: 849.3487, Avg: 749.2582
Ep: 263, Reward: 818.9216, Test: 859.2879, Avg: 751.6040
Ep: 264, Reward: 711.9783, Test: 900.6936, Avg: 752.4840
Ep: 265, Reward: 916.3205, Test: 740.3039, Avg: 751.6374
Ep: 266, Reward: 815.8616, Test: 843.0525, Avg: 751.9813
Ep: 267, Reward: 784.8548, Test: 878.3904, Avg: 752.1331
Ep: 268, Reward: 722.4220, Test: 756.0551, Avg: 751.9249
Ep: 269, Reward: 790.2063, Test: 569.7445, Avg: 749.2501
Ep: 270, Reward: 693.1137, Test: 730.4014, Avg: 748.9529
Ep: 271, Reward: 876.0584, Test: 831.1350, Avg: 750.7792
Ep: 272, Reward: 828.2974, Test: 529.8007, Avg: 750.9325
Ep: 273, Reward: 779.7559, Test: 869.7245, Avg: 752.2736
Ep: 274, Reward: 784.5567, Test: 722.6123, Avg: 752.2600
Ep: 275, Reward: 870.6830, Test: 790.0112, Avg: 753.1227
Ep: 276, Reward: 697.6134, Test: 777.9357, Avg: 753.3858
Ep: 277, Reward: 920.2187, Test: 898.3297, Avg: 756.1082
Ep: 278, Reward: 900.1279, Test: 908.3076, Avg: 756.8134
Ep: 279, Reward: 951.6025, Test: 888.5370, Avg: 760.9410
Ep: 280, Reward: 871.1571, Test: 775.4580, Avg: 761.4169
Ep: 281, Reward: 605.0002, Test: 869.9774, Avg: 763.6112
Ep: 282, Reward: 730.8095, Test: 785.1697, Avg: 762.9359
Ep: 283, Reward: 838.9150, Test: 740.7306, Avg: 764.0804
Ep: 284, Reward: 850.5661, Test: 779.4979, Avg: 764.9130
Ep: 285, Reward: 853.2517, Test: 853.7336, Avg: 765.5572
Ep: 286, Reward: 875.2019, Test: 866.9054, Avg: 767.5128
Ep: 287, Reward: 785.4043, Test: 664.9430, Avg: 766.7712
Ep: 288, Reward: 795.2836, Test: 874.2157, Avg: 766.9435
Ep: 289, Reward: 802.2274, Test: 858.2935, Avg: 770.1891
Ep: 290, Reward: 759.2097, Test: 378.4398, Avg: 765.2934
Ep: 291, Reward: 680.0260, Test: 879.8519, Avg: 766.9173
Ep: 292, Reward: 899.2191, Test: 768.6910, Avg: 768.4176
Ep: 293, Reward: 814.8641, Test: 872.0655, Avg: 769.8271
Ep: 294, Reward: 805.5664, Test: 774.1894, Avg: 770.9738
Ep: 295, Reward: 873.6615, Test: 405.5885, Avg: 767.7311
Ep: 296, Reward: 696.4522, Test: 900.6150, Avg: 770.7860
Ep: 297, Reward: 851.6938, Test: 839.7020, Avg: 771.7157
Ep: 298, Reward: 813.2454, Test: 876.3875, Avg: 774.0843
Ep: 299, Reward: 816.1803, Test: 794.4852, Avg: 774.8477
Ep: 300, Reward: 866.8998, Test: 845.9398, Avg: 774.8776
Ep: 301, Reward: 833.4810, Test: 818.9788, Avg: 774.9029
Ep: 302, Reward: 906.6500, Test: 887.2781, Avg: 776.3577
Ep: 303, Reward: 915.4966, Test: 857.6367, Avg: 777.4037
Ep: 304, Reward: 672.5464, Test: 883.5764, Avg: 779.0675
Ep: 305, Reward: 861.2916, Test: 918.6264, Avg: 780.6070
Ep: 306, Reward: 906.6467, Test: 850.9738, Avg: 782.1250
Ep: 307, Reward: 888.6257, Test: 888.2718, Avg: 783.9557
Ep: 308, Reward: 862.7098, Test: 817.9855, Avg: 784.3090
Ep: 309, Reward: 841.9102, Test: 897.2189, Avg: 784.5161
Ep: 310, Reward: 935.5760, Test: 716.5082, Avg: 783.8921
Ep: 311, Reward: 904.6239, Test: 624.6065, Avg: 782.6482
Ep: 312, Reward: 815.2437, Test: 765.1494, Avg: 784.0920
Ep: 313, Reward: 793.9208, Test: 680.8175, Avg: 783.5426
Ep: 314, Reward: 805.6556, Test: 853.6000, Avg: 785.1030
Ep: 315, Reward: 720.3717, Test: 901.3758, Avg: 786.2674
Ep: 316, Reward: 916.0961, Test: 845.7158, Avg: 788.1715
Ep: 317, Reward: 807.4774, Test: 660.3483, Avg: 786.7274
Ep: 318, Reward: 832.1245, Test: 814.6076, Avg: 786.9287
Ep: 319, Reward: 941.6756, Test: 898.7338, Avg: 787.0284
Ep: 320, Reward: 946.1871, Test: 896.6045, Avg: 788.8173
Ep: 321, Reward: 925.0271, Test: 882.3721, Avg: 790.6567
Ep: 322, Reward: 907.9462, Test: 892.4132, Avg: 790.7899
Ep: 323, Reward: 984.0241, Test: 761.9099, Avg: 792.0662
Ep: 324, Reward: 1022.5944, Test: 910.5698, Avg: 793.1464
Ep: 325, Reward: 886.5369, Test: 808.9037, Avg: 792.6028
Ep: 326, Reward: 700.3179, Test: 889.1129, Avg: 794.5443
Ep: 327, Reward: 914.4312, Test: 532.0875, Avg: 792.2022
Ep: 328, Reward: 840.7753, Test: 845.7404, Avg: 792.7873
Ep: 329, Reward: 881.3369, Test: 804.5103, Avg: 794.5532
Ep: 330, Reward: 928.9961, Test: 818.0803, Avg: 795.3521
Ep: 331, Reward: 802.4800, Test: 860.7455, Avg: 796.9935
Ep: 332, Reward: 813.4551, Test: 872.3980, Avg: 797.9109
Ep: 333, Reward: 910.3903, Test: 809.8831, Avg: 797.2893
Ep: 334, Reward: 801.1501, Test: 879.9237, Avg: 797.8689
Ep: 335, Reward: 868.9719, Test: 622.0494, Avg: 795.9869
Ep: 336, Reward: 768.2371, Test: 793.9564, Avg: 796.6636
Ep: 337, Reward: 885.6603, Test: 901.1231, Avg: 797.4343
Ep: 338, Reward: 1003.3044, Test: 848.5307, Avg: 798.7694
Ep: 339, Reward: 838.4724, Test: 768.5051, Avg: 797.8003
Ep: 340, Reward: 913.4278, Test: 901.1991, Avg: 798.3385
Ep: 341, Reward: 958.4049, Test: 722.6087, Avg: 796.9933
Ep: 342, Reward: 946.5371, Test: 709.3981, Avg: 795.6772
Ep: 343, Reward: 913.6557, Test: 853.6717, Avg: 796.6959
Ep: 344, Reward: 808.6175, Test: 868.6489, Avg: 796.7535
Ep: 345, Reward: 992.9150, Test: 900.6918, Avg: 797.4807
Ep: 346, Reward: 851.3829, Test: 886.4459, Avg: 798.1155
Ep: 347, Reward: 946.1103, Test: 903.6945, Avg: 800.7860
Ep: 348, Reward: 902.5564, Test: 865.0375, Avg: 801.9138
Ep: 349, Reward: 875.0339, Test: 863.7809, Avg: 801.8265
Ep: 350, Reward: 888.8389, Test: 798.5989, Avg: 802.3899
Ep: 351, Reward: 713.0779, Test: 843.1899, Avg: 804.1612
Ep: 352, Reward: 801.1551, Test: 795.6252, Avg: 803.5613
Ep: 353, Reward: 854.4873, Test: 852.1634, Avg: 806.4554
Ep: 354, Reward: 891.8319, Test: 811.2689, Avg: 806.0068
Ep: 355, Reward: 808.3283, Test: 634.4004, Avg: 805.4065
Ep: 356, Reward: 751.6937, Test: 744.4035, Avg: 806.3211
Ep: 357, Reward: 636.2071, Test: 814.5574, Avg: 805.6203
Ep: 358, Reward: 876.1021, Test: 863.4726, Avg: 807.4257
Ep: 359, Reward: 938.9825, Test: 657.4434, Avg: 805.9996
Ep: 360, Reward: 750.2970, Test: 868.2530, Avg: 806.5609
Ep: 361, Reward: 907.0334, Test: 762.1098, Avg: 806.5064
Ep: 362, Reward: 873.0930, Test: 812.4903, Avg: 806.1379
Ep: 363, Reward: 807.9570, Test: 842.4819, Avg: 805.9698
Ep: 364, Reward: 917.2075, Test: 806.9828, Avg: 805.0327
Ep: 365, Reward: 943.4371, Test: 758.3438, Avg: 805.2131
Ep: 366, Reward: 851.5887, Test: 896.7272, Avg: 805.7498
Ep: 367, Reward: 836.4092, Test: 791.3971, Avg: 804.8799
Ep: 368, Reward: 830.4529, Test: 810.1964, Avg: 805.4213
Ep: 369, Reward: 737.7711, Test: 842.3214, Avg: 808.1471
Ep: 370, Reward: 741.6714, Test: 842.8165, Avg: 809.2712
Ep: 371, Reward: 915.5574, Test: 883.5126, Avg: 809.7950
Ep: 372, Reward: 796.3133, Test: 752.3215, Avg: 812.0202
Ep: 373, Reward: 741.8448, Test: 809.6827, Avg: 811.4198
Ep: 374, Reward: 830.2938, Test: 804.3162, Avg: 812.2368
Ep: 375, Reward: 850.7402, Test: 817.7168, Avg: 812.5139
Ep: 376, Reward: 801.4793, Test: 815.1960, Avg: 812.8865
Ep: 377, Reward: 950.8760, Test: 752.5826, Avg: 811.4290
Ep: 378, Reward: 860.2972, Test: 872.7812, Avg: 811.0738
Ep: 379, Reward: 924.2015, Test: 880.0562, Avg: 810.9890
Ep: 380, Reward: 946.7518, Test: 875.6020, Avg: 811.9904
